Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
ransomware,27100,Threat Management,Ransomware Awareness,Understanding Ransomware Attacks,Pillar page,Informational,Informational,text
edr,18100,Cybersecurity Services,EDR Security Solutions,Understanding EDR Products,Pillar page,Commercial,Commercial,text
ai in cybersecurity,18100,Cybersecurity Practices,Cybersecurity Innovations,AI Applications in Cybersecurity,Pillar page,Mixed,Informational,text
vulnerability assessment,18100,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Transactional,text
cloud security,14800,Cybersecurity Practices,Cloud Security Solutions,Top Cloud Security Solutions,Pillar page,Commercial,Commercial,text
dlp,12100,Cybersecurity Practices,Data Loss Prevention,Understanding DLP Concepts,Supporting,Mixed,Commercial,text
cybersecurity services,12100,Cybersecurity Services,Managed Security Solutions,Comprehensive Cybersecurity Services,Supporting,Commercial,Transactional,text
cve database,1900,Threat Management,CVE Vulnerability Insights,Understanding CVE Vulnerabilities,Supporting,Informational,Informational,text
data exploits,1300,Threat Management,Exploit Resources,Understanding Data Exploits,Supporting,Informational,Informational,text
vulnerabilities meaning,1000,Threat Management,Vulnerability Management,Understanding Vulnerabilities Defined,Supporting,Informational,Informational,text
vulnerability management software,1000,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Transactional,text
dark web,135000,Threat Management,Dark Web Insights,Comprehensive Dark Web Guide,Pillar page,Informational,Informational,text
iam,33100,Security Management,Identity Access Management,IAM Solutions Overview,Pillar page,Commercial,Commercial,text
siem,27100,Cybersecurity Services,SIEM Overview,Understanding SIEM Meaning,Pillar page,Informational,Commercial,text
sdlc,27100,Miscellaneous,Software Development Life Cycle,Understanding SDLC Meaning,Supporting,Informational,Informational,text
cve,22200,Threat Management,CVE Vulnerability Insights,What Is a CVE?,Pillar page,Informational,Informational,text
pci compliance,22200,Compliance and Governance,PCI Compliance Solutions,PCI Compliance Solutions Overview,Pillar page,Transactional,Transactional,text
waf,14800,Cybersecurity Practices,WAF Security Solutions,Understanding Web Application Firewalls,Pillar page,Informational,Commercial,text
what is a botnet,14800,Threat Management,Botnet Overview,Understanding Botnets Explained,Pillar page,Informational,Informational,text
social engineering meaning,14800,Threat Management,Social Engineering Overview,Understanding Social Engineering Concepts,Pillar page,Informational,Informational,text
spear phishing,14800,Threat Management,Spear Phishing Overview,Understanding Spear Phishing Attacks,Pillar page,Informational,Informational,text
pen testing,12100,Threat Management,Penetration Testing Overview,Understanding Pen Testing Basics,Supporting,Mixed,Transactional,text
what is a man in the middle attack,12100,Threat Management,Man-in-the-Middle Attacks,Understanding Man In The Middle Attacks,Pillar page,Informational,Informational,text
web application firewall,9900,Cybersecurity Practices,Application Security Solutions,Understanding Web Application Firewalls,Pillar page,Commercial,Commercial,text
data loss prevention,8100,Cybersecurity Practices,Data Loss Prevention,Data Loss Prevention Explained,Pillar page,Informational,Commercial,text
common vulnerabilities and exposures,6600,Threat Management,CVE Vulnerability Insights,Overview of Common Vulnerabilities and Exposures,Supporting,Informational,Informational,text
managed security services,6600,Cybersecurity Services,Managed Security Solutions,Top Managed Security Services,Supporting,Commercial,Transactional,text
mitre attack framework,5400,Threat Management,MITRE ATT&CK Framework,Understanding MITRE ATT&CK Framework,Pillar page,Informational,Informational,text
application security,5400,Cybersecurity Practices,Application Security Solutions,Comprehensive Application Security Solutions,Supporting,Commercial,Commercial,text
cyber threat intelligence,4400,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Informational,text
pci dss compliance,4400,Compliance and Governance,PCI Compliance Solutions,Understanding PCI DSS Compliance,Supporting,Mixed,Transactional,text
identity access management,3600,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Commercial,text
mitm,3600,Threat Management,Man-in-the-Middle Attacks,Introduction To MITM Attacks,Supporting,Informational,Informational,text
security information and event management,3600,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Commercial,text
what is siem,3600,Cybersecurity Services,SIEM Overview,What Is SIEM Technology?,Supporting,Informational,Informational,text
network segmentation,3600,Security Management,Network Segmentation Guide,Understanding Network Segmentation,Pillar page,Informational,Informational,text
cybersecurity risk assessment,3600,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Transactional,text
secure access service edge,2900,Cybersecurity Practices,Secure Access Service Edge,Understanding Secure Access Service Edge,Pillar page,Commercial,Commercial,text
vulnerability scanning,2900,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Transactional,text
what is data security,2400,Cybersecurity Practices,Data Security Overview,Understanding Data Security Basics,Supporting,Informational,Informational,text
what is edr,2400,Cybersecurity Services,EDR Security Solutions,Understanding EDR Products,Pillar page,Commercial,Informational,text
what is mdr,2400,Cybersecurity Services,MDR Cybersecurity Solutions,Understanding MDR Concepts,Supporting,Informational,Informational,text
cyber risk management,2400,Risk Management,Cybersecurity Risk Management,Understanding Cyber Risk Management,Pillar page,Informational,Informational,text
vulnerability scanning tools,2400,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Informational,text
kubernetes security,1900,Cybersecurity Practices,Kubernetes Security Solutions,Kubernetes Security Solutions Overview,Pillar page,Mixed,Informational,text
attack surface,1900,Security Management,Attack Surface Management,Comprehensive Attack Surface Analysis,Supporting,Mixed,Informational,text
edr solutions,1900,Cybersecurity Services,EDR Security Solutions,Top EDR Security Solutions,Supporting,Commercial,Commercial,text
cyber risk,1900,Risk Management,Cybersecurity Risk Management,What Is Cyber Risk?,Supporting,Informational,Informational,text
incident response services,1900,Risk Management,Incident Response Solutions,Managed Incident Response Services,Pillar page,Commercial,Commercial,text
cis critical security controls,1900,Compliance and Governance,Critical Security Controls,Overview of Critical Security Controls,Pillar page,Informational,Informational,text
supply chain attack,1900,Threat Management,Supply Chain Attacks,Understanding Supply Chain Attacks,Pillar page,Informational,Informational,text
brute force attack,1900,Threat Management,Brute Force Attacks,Understanding Brute Force Attacks,Pillar page,Informational,Informational,text
vulnerability scanners,1600,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Commercial,text
cyber security managed services,1600,Cybersecurity Services,Managed Security Solutions,Comprehensive Cybersecurity Services,Supporting,Commercial,Commercial,text
identity and access management solutions,1600,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Commercial,text
cyber security risk assessment,1600,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
mdr security,1600,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Security Services Overview,Supporting,Mixed,Commercial,text
ndr meaning,1600,Threat Management,NDR Insights,Understanding NDR Meaning,Pillar page,Informational,Informational,text
managed security services provider,1600,Cybersecurity Services,Managed Security Solutions,Top Managed Security Services,Supporting,Commercial,Commercial,text
cloud native security,1600,Cybersecurity Practices,Cloud Security Solutions,Exploring Cloud Native Security,Supporting,Commercial,Informational,text
app security,1600,Cybersecurity Practices,API Security Solutions,Understanding App Security,Supporting,Informational,Informational,text
sast tools,1600,Cybersecurity Practices,DAST Tools Overview,Top SAST Tools Overview,Supporting,Commercial,Commercial,text
