Keyword,Volume,Topic,Pillar,Page,Page intent,Keyword intent,Intent source
compare the market car insurance,87000,Insurance Comparisons,Car Insurance Comparison,compare the market car insurance,Navigational,Navigational,serp
third party insurance,5100,Insurance Types,Third Party Insurance Guide,third party insurance,Informational,Mixed,serp
what does third party insurance cover,4500,Insurance Types,Third Party Insurance Guide,third party insurance,Informational,Informational,serp
windscreen cover,3200,Insurance Types,Windscreen Insurance Coverage,windscreen cover,Mixed,Mixed,serp
comprehensive car insurance,3000,Insurance Types,Comprehensive Car Insurance,comprehensive car insurance,Informational,Mixed,serp
car insurance for young drivers,2600,Insurance Comparisons,Car Insurance Comparison,car insurance for young drivers,Commercial,Commercial,serp
comprehensive insurance,2500,Insurance Types,Comprehensive Car Insurance,comprehensive car insurance,Informational,Mixed,serp
what is third party insurance,2300,Insurance Types,Third Party Insurance Guide,third party insurance,Informational,Informational,serp
fully comprehensive car insurance,1900,Insurance Types,Comprehensive Car Insurance,fully comprehensive car insurance,Informational,Mixed,serp
compare the meerkat car insurance,1900,Insurance Comparisons,Car Insurance Comparison,compare the market car insurance,Navigational,Commercial,serp
compare the market car insurance quote,1900,Insurance Comparisons,Car Insurance Comparison,compare the market car insurance,Navigational,Navigational,serp
car windscreen cover,1900,Insurance Types,Windscreen Insurance Coverage,windscreen cover,Mixed,Mixed,serp
third party car insurance,1900,Insurance Types,Third Party Insurance Guide,third party car insurance,Mixed,Mixed,serp
what is comprehensive insurance,1800,Insurance Types,Comprehensive Car Insurance,comprehensive car insurance,Informational,Informational,serp
what does comprehensive insurance cover,1500,Insurance Types,Comprehensive Car Insurance,comprehensive car insurance,Informational,Informational,serp
what's covered by third party insurance,1500,Insurance Types,Third Party Insurance Guide,third party insurance,Informational,Informational,serp
personal accident cover,1400,Personal Coverage,Personal Accident Insurance,personal accident cover,Mixed,Mixed,serp
third party insurance meaning,1400,Insurance Types,Third Party Insurance Guide,third party insurance,Informational,Informational,serp
comprehensive insurance meaning,1400,Insurance Types,Comprehensive Car Insurance,comprehensive car insurance,Informational,Informational,serp
3rd party insurance,1300,Insurance Types,Third Party Insurance Guide,third party insurance,Informational,Informational,serp
uninsured driver promise,1100,Insurance Types,Uninsured Driver Coverage,uninsured driver promise,Informational,Informational,serp
compare the market car insurance uk,1000,Insurance Comparisons,Car Insurance Comparison,compare the market car insurance,Navigational,Navigational,serp
courtesy car insurance,1000,Insurance Types,Courtesy Car Insurance,courtesy car insurance,Informational,Mixed,serp
what is personal accident cover,1000,Personal Coverage,Personal Accident Insurance,what is personal accident cover,Informational,Informational,serp
what is comprehensive car insurance,1000,Insurance Types,Comprehensive Car Insurance,comprehensive car insurance,Informational,Informational,serp
what does 3rd party insurance cover,1000,Insurance Types,Third Party Insurance Guide,third party insurance,Informational,Informational,serp
3rd party car insurance,900,Insurance Types,Third Party Insurance Guide,third party car insurance,Mixed,Mixed,serp
fully comprehensive car insurance meaning,900,Insurance Types,Comprehensive Car Insurance,fully comprehensive car insurance,Informational,Informational,serp
what does comprehensive mean,900,Insurance Types,Comprehensive Car Insurance,what does comprehensive mean,Informational,Informational,serp
if your fully comprehensive can you drive any car,800,Insurance Types,Comprehensive Car Insurance,if your fully comprehensive can you drive any car,Informational,Informational,serp
if i have fully comprehensive car insurance can i drive any car,800,Insurance Types,Comprehensive Car Insurance,if your fully comprehensive can you drive any car,Informational,Informational,serp
