Topic,Pillar,Page,Intent,Keywords,Volume
Accident Coverage,Aviva Accident Coverage,aviva accident,Navigational,1,20
Claims Process,Fault Claim Process,fault claim,Informational,1,200
Insurance Comparisons,Car Insurance Comparison,compare the market car insurance,Navigational,12,94500
Insurance Comparisons,Car Insurance Comparison,car insurance rate comparison,Commercial,32,4400
Insurance Comparisons,Car Insurance Comparison,car insurance online quote,Commercial,24,3710
Insurance Comparisons,Car Insurance Comparison,insurance comprehensive car,Mixed,17,2640
Insurance Comparisons,Car Insurance Comparison,car insurance for young drivers,Commercial,1,2600
Insurance Comparisons,Car Key Insurance,car key insurance,Mixed,10,1760
Insurance Comparisons,Car Insurance Comparison,great car insurance,Commercial,9,1300
Insurance Comparisons,Car Insurance Comparison,average cost of car insurance uk,Mixed,7,970
Insurance Comparisons,Car Key Insurance,lost car key insurance,Mixed,9,790
Insurance Comparisons,Car Insurance Comparison,find me car insurance,Commercial,3,500
Insurance Comparisons,Car Insurance Comparison,cheap liability car insurance,Commercial,3,450
Insurance Comparisons,Car Insurance Comparison,car insurance coverages,Mixed,3,450
Insurance Comparisons,Car Insurance Comparison,does car insurance cover repairs,Informational,1,400
Insurance Comparisons,Car Key Insurance,key car insurance,Mixed,1,350
Insurance Comparisons,Car Key Insurance,key insurance,Mixed,2,350
Insurance Comparisons,Car Insurance Comparison,car insurance claims,Informational,1,300
Insurance Comparisons,Car Insurance Comparison,car auto insurance quote,Mixed,2,250
Insurance Comparisons,Car Insurance Comparison,car comprehensive insurance quote,Commercial,2,210
Insurance Comparisons,Car Insurance Comparison,london car insurance,Commercial,1,200
Insurance Comparisons,Car Insurance Comparison,insurance renewal car,Mixed,1,200
Insurance Comparisons,Car Insurance Comparison,get a quote for insurance,Commercial,1,200
Insurance Comparisons,Car Insurance Comparison,collision car insurance,Informational,1,200
Insurance Comparisons,Car Key Insurance,lost car keys replacement,Mixed,1,200
Insurance Comparisons,Car Insurance Comparison,car and insurance deal,Commercial,1,150
Insurance Comparisons,Car Insurance Comparison,insurance motor,Commercial,1,150
Insurance Comparisons,Car Insurance Comparison,lower car insurance,Informational,1,150
Insurance Comparisons,Insurance Comparisons,comparable insurance,Commercial,1,150
Insurance Comparisons,Car Insurance Comparison,motorcar insurance,Commercial,1,90
